date,ret_1d_net,equity,trade_gate,pressure_state,regime_label,vol_state,vol_trend_state,dp_state,macro_state,compression_flag_x,transition_label,prob_trend_fused,prob_range_fused,dealer_state_hint,gamma_proxy,wall_strike,dist_to_wall_pct,cluster_score,compression_flag_y,signal_strength,execution_score,final_bias,created_at
2024-04-15,-0.0127281272781027,-0.0127281272781027,0,UNRESOLVED_PRESSURE,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-16,-0.0020237950351298,-0.0147519223132325,0,NORMAL,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-17,-0.0061182392182244,-0.0208701615314569,0,NORMAL,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-18,-0.0022577341013199,-0.0231278956327769,0,NORMAL,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-19,-0.0089283501110165,-0.0320562457437935,0,NORMAL,unknown_vol|rising_voltrend|low_dp|high_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-22,0.0090091395202942,-0.0230471062234992,0,NORMAL,unknown_vol|rising_voltrend|low_dp|normal_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-23,0.0116666306357473,-0.0113804755877519,0,NORMAL,unknown_vol|rising_voltrend|low_dp|normal_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-24,-0.0006746172990642,-0.0120550928868162,0,NORMAL,unknown_vol|rising_voltrend|low_dp|normal_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-25,-0.0039989224863423,-0.0160540153731586,0,UNRESOLVED_PRESSURE,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-26,0.0092739113463397,-0.0067801040268188,0,NORMAL,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-29,0.0033414704253415,-0.0034386336014772,0,NORMAL,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-04-30,-0.0160412473256882,-0.0194798809271655,0,UNRESOLVED_PRESSURE,unknown_vol|rising_voltrend|low_dp|normal_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-01,-0.0034471509764099,-0.0229270319035754,0,NORMAL,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-02,0.0091534378309032,-0.0137735940726721,0,NORMAL,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-03,0.0121953226159951,-0.0015782714566769,0,NORMAL,unknown_vol|rising_voltrend|low_dp|low_macro|0_comp,unknown,rising,low,,0,unknown->unknown | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-14,0.0043881529854572,0.0028098815287802,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,unknown->mid | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-16,-0.0022575083906342,0.000552373138146,0,COILED,mid_vol|falling_voltrend|low_dp|low_macro|1_comp,mid,falling,low,,1,mid->mid | falling->falling | low->low,,,,,,,0.0,1,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-17,0.0012375338328991,0.0017899069710451,0,COILED,mid_vol|falling_voltrend|low_dp|low_macro|1_comp,mid,falling,low,,1,mid->mid | falling->falling | low->low,,,,,,,0.0,1,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-20,0.0009521113183465,0.0027420182893917,0,COILED,mid_vol|falling_voltrend|low_dp|low_macro|1_comp,mid,falling,low,,1,mid->mid | falling->falling | low->low,,,,,,,0.0,1,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-21,0.0022525295229904,0.0049945478123821,0,COILED,mid_vol|falling_voltrend|low_dp|low_macro|1_comp,mid,falling,low,,1,mid->mid | falling->falling | low->low,,,,,,,0.0,1,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-24,0.0064164353246811,0.0114109831370633,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-28,0.0004988423909817,0.011909825528045,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-29,-0.0072025518388711,0.0047072736891739,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,mid->low | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-05-30,-0.0068337015706721,-0.0021264278814981,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-06-13,0.0018134972753127,-0.0003129306061854,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-06-21,-0.0047520845235375,-0.0050650151297229,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-06-24,-0.0034506648170009,-0.0085156799467239,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-06-26,0.001048082254009,-0.0074675976927148,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-01,0.0018580945438233,-0.0056095031488914,0,NORMAL,low_vol|falling_voltrend|low_dp|normal_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-03,0.0042626002503618,-0.0013469028985296,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-16,0.0057301477765261,0.0043832448779964,0,NORMAL,low_vol|rising_voltrend|low_dp|low_macro|0_comp,low,rising,low,,0,low->low | rising->rising | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-19,-0.0068405802636197,-0.0024573353856233,0,NORMAL,mid_vol|rising_voltrend|low_dp|normal_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-22,0.0101099041519338,0.0076525687663105,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-23,-0.0017685478750434,0.005884020891267,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-26,0.0109996983667617,0.0168837192580287,0,NORMAL,high_vol|rising_voltrend|low_dp|normal_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.3,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-29,0.0003877733502015,0.0172714926082303,0,NORMAL,high_vol|rising_voltrend|low_dp|normal_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.3,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-07-30,-0.0052664691169465,0.0120050234912838,0,NORMAL,high_vol|rising_voltrend|low_dp|high_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.4,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-14,0.0029547893918812,0.0149598128831651,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.6,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-16,0.0020420131591913,0.0170018260423564,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.4,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-19,0.0093614147612563,0.0263632408036128,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,,,,,,,0.3,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-23,0.0104253541601832,0.0367885949637961,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-26,-0.002583837980234,0.0342047569835621,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-27,0.0011730978823098,0.035377854865872,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-28,-0.0060052742000819,0.0293725806657901,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-29,-0.0001104642771596,0.0292621163886304,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-08-30,0.0093460147271437,0.0386081311157742,0,NORMAL,high_vol|falling_voltrend|low_dp|low_macro|0_comp,high,falling,low,,0,high->high | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-09-13,0.0050227419018351,0.0436308730176093,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.3,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-09-17,0.0002086071668265,0.0438394801844359,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-09-20,-0.0049812192408371,0.0388582609435987,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-02,0.0002220573255175,0.0390803182691163,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-14,0.0079783189458035,0.0470586372149198,0,NORMAL,mid_vol|falling_voltrend|low_dp|normal_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-21,-0.0018422140791901,0.0452164231357296,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-22,-0.000731154251838,0.0444852688838916,0,NORMAL,low_vol|falling_voltrend|low_dp|low_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-29,0.0014183778622804,0.0459036467461721,0,NORMAL,low_vol|falling_voltrend|low_dp|normal_macro|0_comp,low,falling,low,,0,mid->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-10-30,-0.0032252672130528,0.0426783795331192,0,NORMAL,low_vol|falling_voltrend|low_dp|normal_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-11-12,-0.003306395419244,0.0393719841138752,0,NORMAL,mid_vol|rising_voltrend|normal_dp|low_macro|0_comp,mid,rising,normal,,0,mid->mid | rising->rising | normal->normal,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:40
2024-11-13,0.000285806693723,0.0396577908075982,0,NORMAL,mid_vol|rising_voltrend|normal_dp|low_macro|0_comp,mid,rising,normal,,0,mid->mid | rising->rising | normal->normal,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-11-18,0.0038973528195689,0.0435551436271671,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | normal->low,,,,,,,0.1,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-11-20,0.0001388314605579,0.043693975087725,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-11-21,0.0051683029807896,0.0488622780685146,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-11-25,0.0031920832532186,0.0520543613217332,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-13,-0.0003985589227643,0.0516558023989689,0,NORMAL,low_vol|falling_voltrend|low_dp|normal_macro|0_comp,low,falling,low,,0,low->low | falling->falling | low->low,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-17,-0.0043200416792106,0.0473357607197582,0,NORMAL,low_vol|falling_voltrend|high_dp|low_macro|0_comp,low,falling,high,,0,low->low | falling->falling | high->high,,,,,,,0.0,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-23,0.0057882904189212,0.0531240511386795,0,NORMAL,mid_vol|rising_voltrend|low_dp|normal_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | high->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-24,0.0109150100462866,0.0640390611849662,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-26,-0.000133412500727,0.0639056486842391,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2024-12-31,-0.003838015912182,0.060067632772057,0,NORMAL,mid_vol|rising_voltrend|low_dp|low_macro|0_comp,mid,rising,low,,0,mid->mid | rising->rising | low->low,,,,,,,0.2,0,,35.0,BALANCED_SMALL,2026-02-07 02:11:41
2025-01-17,0.0098398929996914,0.0699075257717485,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,0.3270756043129383,0.6729243956870616,,,,,0.1,0,,22.89529230190568,WHIP_WAIT,2026-02-07 02:11:41
2025-01-21,0.0089535368430879,0.0788610626148364,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,high->mid | rising->falling | low->low,0.27672865289193344,0.7232713471080665,,,,,0.1,0,,19.37100570243534,WHIP_WAIT,2026-02-07 02:11:41
2025-01-22,0.0054214488302108,0.0842825114450473,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.32115262436590136,0.6788473756340987,,,,,0.1,0,,22.480683705613096,WHIP_WAIT,2026-02-07 02:11:41
2025-01-23,0.0052580791921186,0.0895405906371659,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.32400970896379006,0.6759902910362099,,,,,0.0,0,,22.680679627465302,WHIP_WAIT,2026-02-07 02:11:41
2025-01-24,-0.0031192772396473,0.0864213133975185,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.313654555401302,0.6863454445986981,,,,,0.0,0,,21.95581887809114,WHIP_WAIT,2026-02-07 02:11:41
2025-01-29,-0.0046829317228528,0.0817383816746656,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,high->mid | falling->falling | low->low,0.2821250896964995,0.7178749103035005,,,,,0.1,0,,19.748756278754968,WHIP_WAIT,2026-02-07 02:11:41
2025-01-30,0.0051671100211916,0.0869054916958572,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.28292239342898134,0.7170776065710187,,,,,0.1,0,,19.804567540028692,WHIP_WAIT,2026-02-07 02:11:41
2025-01-31,-0.0055219139562038,0.0813835777396534,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.3286783471809113,0.6713216528190886,,,,,0.1,0,,23.007484302663794,WHIP_WAIT,2026-02-07 02:11:41
2025-02-04,0.0065082818385062,0.0878918595781596,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.33238369754540076,0.6676163024545992,,,,,0.2,0,,23.26685882817805,WHIP_WAIT,2026-02-07 02:11:41
2025-02-19,0.0021549076262954,0.090046767204455,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.31242008962811996,0.68757991037188,,,,,0.0,0,,21.869406273968398,WHIP_WAIT,2026-02-07 02:11:41
2025-02-24,-0.0047504224716481,0.0852963447328069,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.2748112352688932,0.7251887647311068,,,,,0.1,0,,19.236786468822523,WHIP_WAIT,2026-02-07 02:11:41
2025-02-26,0.0003048259926943,0.0856011707255012,0,NORMAL,mid_vol|falling_voltrend|low_dp|low_macro|0_comp,mid,falling,low,,0,mid->mid | falling->falling | low->low,0.32388862740373325,0.6761113725962667,,,,,0.1,0,,22.672203918261328,WHIP_WAIT,2026-02-07 02:11:41
2025-03-04,-0.012036911709231,0.0735642590162701,0,NORMAL,high_vol|rising_voltrend|normal_dp|high_macro|0_comp,high,rising,normal,,0,mid->high | rising->rising | normal->normal,0.2828929741388068,0.7171070258611931,,,,,0.5,0,,19.802508189716477,WHIP_WAIT,2026-02-07 02:11:41
2025-03-05,0.0105478631981254,0.0841121222143956,0,NORMAL,high_vol|rising_voltrend|normal_dp|normal_macro|0_comp,high,rising,normal,,0,high->high | rising->rising | normal->normal,0.29393449606116745,0.7060655039388326,,,,,0.6,0,,20.57541472428172,WHIP_WAIT,2026-02-07 02:11:41
2025-03-06,-0.0179511330382382,0.0661609891761573,0,NORMAL,high_vol|rising_voltrend|normal_dp|high_macro|0_comp,high,rising,normal,,0,high->high | rising->rising | normal->normal,0.3214981430456321,0.6785018569543679,,,,,0.7,0,,22.50487001319425,WHIP_WAIT,2026-02-07 02:11:41
2025-03-18,-0.0110084362495541,0.0551525529266031,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,0.2895626080304137,0.7104373919695863,,,,,0.8,0,,20.26938256212896,WHIP_WAIT,2026-02-07 02:11:41
2025-03-19,0.0106908508410583,0.0658434037676615,0,NORMAL,high_vol|rising_voltrend|low_dp|low_macro|0_comp,high,rising,low,,0,high->high | rising->rising | low->low,0.3233557593034795,0.6766442406965205,,,,,0.8,0,,22.634903151243563,WHIP_WAIT,2026-02-07 02:11:41
